benchmark,method,iteration,fitness
synth_medium,choa_memory,1,0.3990397740538375
synth_medium,choa_memory,2,0.473541
synth_medium,choa_memory,3,0.44874800000000004
synth_medium,choa_memory,4,0.47005558728444147
synth_medium,choa_memory,5,0.5009939999999999
synth_medium,choa_memory,6,0.45002600000000004
synth_medium,choa_memory,7,0.47120025395110804
synth_medium,choa_memory,8,0.460106
synth_medium,choa_memory,9,0.518652
synth_medium,choa_memory,10,0.5507580000000001
synth_medium,choa_memory,11,0.5512680000000001
synth_medium,choa_memory,12,0.538017
synth_medium,choa_memory,13,0.526241
synth_medium,choa_memory,14,0.51273
synth_medium,choa_memory,15,0.545947
synth_medium,choa_memory,16,0.48852
synth_medium,choa_memory,17,0.509547
synth_medium,choa_memory,18,0.5311870000000001
synth_medium,choa_memory,19,0.5609740000000001
synth_medium,choa_memory,20,0.5674600000000001
synth_medium,choa_memory,21,0.539998
synth_medium,choa_memory,22,0.5134590000000001
synth_medium,choa_memory,23,0.547135
synth_medium,choa_memory,24,0.5300929999999999
synth_medium,choa_memory,25,0.534869
synth_medium,choa_memory,26,0.5438480000000001
synth_medium,choa_memory,27,0.6167199999999999
synth_medium,choa_memory,28,0.567242
synth_medium,choa_memory,29,0.556786
synth_medium,choa_memory,30,0.53848
synth_medium,choa_memory,31,0.564189
synth_large,choa,1,0.5479718649629284
synth_large,choa,2,0.5547157740538374
synth_large,choa,3,0.578529
synth_large,choa,4,0.480691
synth_large,choa,5,0.44575200000000004
synth_large,choa,6,0.561481
synth_large,choa,7,0.617074
synth_large,choa,8,0.536857
synth_large,choa,9,0.572296
synth_large,choa,10,0.5857939999999999
synth_large,choa,11,0.536435
synth_large,choa,12,0.611639
synth_large,choa,13,0.47564300000000004
synth_large,choa,14,0.577577
synth_large,choa,15,0.606183
synth_large,choa,16,0.587707
synth_large,choa,17,0.504997
synth_large,choa,18,0.6012710000000001
synth_large,choa,19,0.43790700000000005
synth_large,choa,20,0.580792
synth_large,choa,21,0.5578639999999999
synth_large,choa,22,0.669933
synth_large,choa,23,0.517848
synth_large,choa,24,0.576903
synth_large,choa,25,0.610395
synth_large,choa,26,0.608762
synth_large,choa,27,0.6011010000000001
synth_large,choa,28,0.588965
synth_large,choa,29,0.669775
synth_large,choa,30,0.560557
synth_large,choa,31,0.6123099999999999
synth_large,choa_memory,1,0.5479718649629284
synth_large,choa_memory,2,0.5547157740538374
synth_large,choa_memory,3,0.578529
synth_large,choa_memory,4,0.480691
synth_large,choa_memory,5,0.44575200000000004
synth_large,choa_memory,6,0.561481
synth_large,choa_memory,7,0.617074
synth_large,choa_memory,8,0.536857
synth_large,choa_memory,9,0.572296
synth_large,choa_memory,10,0.5857939999999999
synth_large,choa_memory,11,0.536435
synth_large,choa_memory,12,0.611639
synth_large,choa_memory,13,0.47564300000000004
synth_large,choa_memory,14,0.577577
synth_large,choa_memory,15,0.606183
synth_large,choa_memory,16,0.587707
synth_large,choa_memory,17,0.504997
synth_large,choa_memory,18,0.6012710000000001
synth_large,choa_memory,19,0.43790700000000005
synth_large,choa_memory,20,0.580792
synth_large,choa_memory,21,0.5578639999999999
synth_large,choa_memory,22,0.669933
synth_large,choa_memory,23,0.517848
synth_large,choa_memory,24,0.576903
synth_large,choa_memory,25,0.610395
synth_large,choa_memory,26,0.608762
synth_large,choa_memory,27,0.6011010000000001
synth_large,choa_memory,28,0.588965
synth_large,choa_memory,29,0.669775
synth_large,choa_memory,30,0.560557
synth_large,choa_memory,31,0.6123099999999999
synth_tight,choa,1,0.4594902326454991
synth_tight,choa,2,0.49918900000000005
synth_tight,choa,3,0.48112000000000005
synth_tight,choa,4,0.445323
synth_tight,choa,5,0.5590539999999999
synth_tight,choa,6,0.5068391370775225
synth_tight,choa,7,0.526034
synth_tight,choa,8,0.520791
synth_tight,choa,9,0.599526
synth_tight,choa,10,0.589946
synth_tight,choa,11,0.5867266808480941
synth_tight,choa,12,0.53461
synth_tight,choa,13,0.487446
synth_tight,choa,14,0.546961
synth_tight,choa,15,0.46245903879173117
synth_tight,choa,16,0.530671
synth_tight,choa,17,0.598063
synth_tight,choa,18,0.5173190000000001
synth_tight,choa,19,0.5444019999999999
synth_tight,choa,20,0.556434
synth_tight,choa,21,0.5287530000363855
synth_tight,choa,22,0.565959
synth_tight,choa,23,0.5827480000004811
synth_tight,choa,24,0.5426960000000001
synth_tight,choa,25,0.5355560000000001
synth_tight,choa,26,0.571113
synth_tight,choa,27,0.543553
synth_tight,choa,28,0.5569379999999999
synth_tight,choa,29,0.5819889999999999
synth_tight,choa,30,0.5926020000000001
synth_tight,choa,31,0.567642
synth_tight,choa_memory,1,0.4594902326454991
synth_tight,choa_memory,2,0.49918900000000005
synth_tight,choa_memory,3,0.48112000000000005
synth_tight,choa_memory,4,0.445323
synth_tight,choa_memory,5,0.5590539999999999
synth_tight,choa_memory,6,0.5068391370775225
synth_tight,choa_memory,7,0.526034
synth_tight,choa_memory,8,0.520791
synth_tight,choa_memory,9,0.599526
synth_tight,choa_memory,10,0.589946
synth_tight,choa_memory,11,0.5867266808480941
synth_tight,choa_memory,12,0.53461
synth_tight,choa_memory,13,0.487446
synth_tight,choa_memory,14,0.546961
synth_tight,choa_memory,15,0.46245903879173117
synth_tight,choa_memory,16,0.530671
synth_tight,choa_memory,17,0.598063
synth_tight,choa_memory,18,0.5173190000000001
synth_tight,choa_memory,19,0.5444019999999999
synth_tight,choa_memory,20,0.556434
synth_tight,choa_memory,21,0.5287530000363855
synth_tight,choa_memory,22,0.565959
synth_tight,choa_memory,23,0.5827480000004811
synth_tight,choa_memory,24,0.5426960000000001
synth_tight,choa_memory,25,0.5355560000000001
synth_tight,choa_memory,26,0.571113
synth_tight,choa_memory,27,0.543553
synth_tight,choa_memory,28,0.5569379999999999
synth_tight,choa_memory,29,0.5819889999999999
synth_tight,choa_memory,30,0.5926020000000001
synth_tight,choa_memory,31,0.567642
